screen_name,twitter_id,block,final_rank,block_rank,enhanced_score,hits_hub_score,cluster_score,pattern_score,# of Projects Followed,Avg Position
0xCookies_ETH,149875812,authority,95,95,943.8473736795293,4.958469859562239,26.058903819966986,51.83,42,481.7
0xPolo,3091474505,authority,96,96,943.6445602745498,2.852365083173053,26.425320191376763,64.32000000000001,32,356.8
TJ_Kawa,293849579,authority,97,97,943.254782079131,3.079642312126167,25.50984564935788,49.18,34,508.2
jrwhale,808578176,authority,98,98,941.5561874306293,4.362812369506583,25.50984564935788,54.36,34,456.4
1xnodex1,168085600,authority,99,99,939.7908405874699,8.461483105238752,27.359357482231204,68.97,31,310.3
CircleFaaaaaang,189716989,authority,100,100,938.6019893819445,5.8282727648446375,25.50984564935788,59.279999999999994,31,407.2
crypto_blizzard,711096769,authority,101,101,938.2128060653218,2.812960415963954,25.50984564935788,54.89,42,451.1
michael314,28827081,authority,102,102,937.9928504461866,3.493946626219523,26.058903819966986,44.44,44,555.6
phungminhtuan,529270359,authority,103,103,937.6364839511461,1.3852838650597297,26.61943538020408,51.470000000000006,34,485.3
Ruesandora0,1446937588179275777,authority,104,104,936.4539322198378,57.31806310969964,27.359357482231204,73.22999999999999,172,267.7
Nehemiah_era,1215766996006121473,authority,105,105,935.426548733923,43.00096174349521,27.359357482231204,79.14,122,208.6
extrapleasuree,1393934504826347522,authority,106,106,934.8184388482683,21.840618656891635,26.425320191376763,84.24,40,157.6
MurupXBT,318648665,authority,107,107,934.2694733120087,7.425741905834818,26.058903819966986,69.94,29,300.6
WarcMeinstein,457204731,authority,108,108,934.0478806157112,3.474818488850618,26.425320191376763,59.17999999999999,31,408.2
tikio_0,1507606121141481486,authority,109,109,933.9179670957662,30.311798019332155,27.359357482231204,80.87,69,191.3
wassiecapital,1397450323963252739,authority,110,110,933.8357606886622,40.41118581512665,27.359357482231204,78.5,115,215.0
Candy_Gems,201040727,authority,111,111,933.538259346357,3.4022967028606272,26.058903819966986,47.42999999999999,34,525.7
iamyouronlyp,1346514754832134145,authority,112,112,930.1214210458736,25.267518109096994,27.359357482231204,84.03999999999999,55,159.6
EnneZeta,1603115622,authority,113,113,929.5618427427447,5.101997093386742,25.50984564935788,50.95,50,490.5
cryptoolddog88,2357369534,authority,114,114,928.549067333467,7.215335927293184,26.058903819966986,70.42999999999999,29,295.7
Starboeii,92028206,authority,115,115,928.5201155496679,2.5885126473313522,36.78231718805101,71.31,28,286.9
0x00Sik,1336436193345605633,authority,116,116,928.1767287501112,20.139871267879993,27.359357482231204,83.24,40,167.6
Frozentill,4707254009,authority,117,117,926.7062804206765,3.6346700654363837,25.50984564935788,50.4,34,496.0
Iknowwhyy,1387194154908782597,authority,118,118,926.1365785457085,33.653887730144014,27.359357482231204,78.28999999999999,90,217.1
cryptomantube,160704255,authority,119,119,924.9725923442546,2.1631569640504833,26.61943538020408,42.19,40,578.1
ANNIE199608,144398438,authority,120,120,924.9495376334338,3.1532272532296663,26.61943538020408,47.129999999999995,32,528.7
HashZed23,470173697,authority,121,121,924.9355965115067,10.11105384409032,27.359357482231204,75.78,27,242.2
dqniellew,1629891422,authority,122,122,924.4001054352443,3.7426640317463935,26.425320191376763,50.019999999999996,33,499.8
JedBreed,19477861,authority,123,123,924.179950386612,8.310592904380794,27.359357482231204,65.51,29,344.9
thanhtuannt1984,2324760456,authority,124,124,923.8306989674222,1.405708031662584,26.61943538020408,43.75,36,562.5
obserwacja2,1324152787425517568,authority,125,125,922.8877042961567,19.317891385280603,26.058903819966986,81.92,55,180.8
gudwombi,1434766745491984385,authority,126,126,922.2503180323547,12.391108952089146,26.425320191376763,86.17,36,138.3
0xRaizel,1115646110016520197,authority,127,127,921.8705299379782,24.875254088399938,27.359357482231204,81.84,49,181.6
TheCryptoKidsX,3161544841,authority,128,128,921.7689821296234,1.4856578605303965,26.61943538020408,41.4,36,586.0
mocha_ntf,1459205785,authority,129,129,921.4541664867131,5.268064439842475,26.61943538020408,60.65,30,393.5
myAlphaDrops,467237184,authority,130,130,920.1315795427371,3.082087487476006,26.058903819966986,47.02,34,529.8
mrrose__,875459877388210176,authority,131,131,920.0515938475638,29.57786244138998,26.058903819966986,76.57000000000001,87,234.3
ApeOClock,1401346770458669057,authority,132,132,919.4451261035507,44.191884323798874,27.359357482231204,70.96000000000001,121,290.4
powermonkey67,1180186757394042883,authority,133,133,918.9659695285867,39.73804061778402,27.359357482231204,73.44,105,265.6
yekiM_o,1283461502477926402,authority,134,134,918.2272444354988,30.805623085206307,25.50984564935788,77.08,107,229.2
JoshRoomsburg,90828940,authority,135,135,917.9978461935808,3.1084108133767825,26.61943538020408,52.27,33,477.3
tim_khoury,2548154928,authority,136,136,917.5847722051049,6.394926555746987,25.50984564935788,61.67999999999999,32,383.2
ericjuta,1654107158,authority,137,137,917.5845200946501,2.568613839231584,25.50984564935788,48.4,33,516.0
DefiCryptic,1347478619291930625,authority,138,138,917.57908361607,19.89908783596654,27.359357482231204,79.31,47,206.9
elgin_aurora,3340500982,authority,139,139,916.6592421999829,4.750338380015934,26.058903819966986,47.85,38,521.5
0x_Joyboy,1428066700931571714,authority,140,140,916.2928787796549,16.47977129742362,27.359357482231204,81.36,48,186.4
co1nconnect,1424057014615826436,authority,141,141,916.2539323724592,19.39393659235569,27.359357482231204,79.49,47,205.1
0x_Etherean,1401431322501910530,authority,142,142,915.3965669832402,11.19898264092014,26.425320191376763,82.31,53,176.9
FaridRached,412359316,authority,143,143,914.2402533030144,1.8501055254307235,26.425320191376763,62.120000000000005,29,378.8
ikuma,6170402,authority,144,144,912.5105988175796,4.680753168221728,25.50984564935788,46.32000000000001,31,536.8
Crbaa21,1439251982137634829,authority,145,145,911.112838644334,31.626493210295603,27.359357482231204,72.88,83,271.2
0xdetweiler,1518981037514186752,authority,146,146,910.5468544112122,20.417565975860448,26.058903819966986,80.08,52,199.2
Ren_leilei,4920186276,authority,147,147,909.7962419292097,6.375736552647821,26.425320191376763,73.31,27,266.9
kuehpisanggg,21370032,authority,148,148,909.521145418237,3.581299768879165,25.50984564935788,45.67999999999999,30,543.2
tematema1714,4508328260,authority,149,149,908.5527137353696,4.066611688498838,26.61943538020408,59.95,30,400.5
mattyap145,46669772,authority,150,150,908.5186111368661,4.073937901301266,25.50984564935788,50.089999999999996,29,499.1
BenKatz_7,1390993669906370561,authority,151,151,908.4256597995634,14.962597672702685,26.425320191376763,79.07000000000001,62,209.3
0xfmr,617284179,authority,152,152,907.9776048748338,3.518169494629622,26.61943538020408,54.839999999999996,32,451.6
CoffeeTimesTW,4880330080,authority,153,153,907.7831102770817,6.073264627723745,25.50984564935788,62.2,31,378.0
fiteth_,1535639501665472512,authority,154,154,907.5517328695067,16.868845975510844,27.359357482231204,87.0,34,130.0
0xEgas,4211698769,authority,155,155,907.4057243272864,2.2635291359097494,26.425320191376763,49.67,32,503.3
johnbrorandom,1611251114523099136,authority,156,156,907.1426748453308,21.437256757038984,27.359357482231204,76.24,66,237.6
crypto_saint,873640202329305089,authority,157,157,907.0599288681286,14.116649493078393,26.425320191376763,77.62,49,223.8
0x_squirtle,1532113710181134337,authority,158,158,906.901244136197,24.974743796822846,27.359357482231204,74.46000000000001,70,255.4
MedaTahu,2546185344,authority,159,159,905.3270799293499,6.703239688497972,27.359357482231204,62.73,29,372.7
handofg_d,1206100895005581312,authority,160,160,905.1797139591855,17.038689810287675,27.359357482231204,79.99,36,200.1
_Ulquiorra_IV_,1747854898887049216,authority,161,161,904.7886181883205,19.99134403942269,27.359357482231204,74.74,48,252.6
mdmalpha1919,1778123384787759104,authority,162,162,904.610916883999,26.994056074784716,26.058903819966986,72.22999999999999,93,277.7
KingsHarald,1429412421806997513,authority,163,163,904.5229416015561,35.09414486698851,27.359357482231204,70.99,107,290.1
burstingbagel,972290223316045824,authority,164,164,903.7606998092054,20.48792502149645,26.058903819966986,74.22999999999999,62,257.7
oloja919,1577708431724744711,authority,165,165,903.7396790221585,11.59227275943959,27.359357482231204,80.41,41,195.9
GeminiEye,138959484,authority,166,166,903.4758014300742,7.4502901016891085,27.359357482231204,67.07000000000001,26,329.3
_mantraaa,4097101876,authority,167,167,902.7906748567774,4.102021332067383,26.425320191376763,57.42999999999999,30,425.7
_TheTinapa,4867667044,authority,168,168,902.7056721474751,2.1795701006043604,26.61943538020408,56.989999999999995,30,430.1
Suwster,944019117882867714,authority,169,169,902.2783890178995,9.85144720490107,26.425320191376763,79.38,37,206.2
0xgilgameshh_,1717202236374200320,authority,170,170,902.201493387457,24.004948405225825,27.359357482231204,73.72,64,262.8
Howth88,1215161847994888192,authority,171,171,900.808754736435,17.5168972542039,27.359357482231204,74.62,40,253.8
0xb17z,615972569,authority,172,172,900.3536868088883,3.6671744928637438,25.50984564935788,50.260000000000005,30,497.4
fougars67,1187336859116064768,authority,173,173,900.2645182586213,25.628691361731203,26.058903819966986,71.5,65,285.0
NeikosX,1378386989049737219,authority,174,174,900.1399066731377,21.563882524239897,27.359357482231204,74.3,60,257.0
Crypt0_Andrew,1422940139408461827,authority,175,175,897.8801421141458,25.742378834813053,27.359357482231204,69.59,69,304.1
willwangtf,254902074,authority,176,176,896.7823308620028,3.3767709269306256,25.50984564935788,59.36,28,406.4
moonilya72,1663133323156410368,authority,177,177,896.6141546524788,16.508963836914145,27.359357482231204,74.35,48,256.5
cryptoser100,1715665214702546944,authority,178,178,896.5949340084351,13.377458759896662,26.058903819966986,82.72999999999999,35,172.7
akiii345,700161356,authority,179,179,895.3942586544931,1.159084323585001,36.78231718805101,61.31,28,386.9
AppleNvidia,1762548802509225984,authority,180,180,895.2925156009918,14.173611781024869,26.058903819966986,76.31,50,236.9
Lays2980,1392123341205508102,authority,181,181,894.8768859676757,13.728957056873023,27.359357482231204,81.36,35,186.4
blumpcoin,1410963046437208067,authority,182,182,894.8676430889058,13.27485038004993,26.058903819966986,76.27000000000001,36,237.3
jlearrn,1353812906,authority,183,183,894.7103091121738,7.880463462815891,25.50984564935788,69.32000000000001,28,306.8
Termillyonline,1236647462263312384,authority,184,184,894.2019743691329,20.923410934512944,26.425320191376763,71.61,74,283.9
Soliloquology,3083488310,authority,185,185,893.7674137620655,8.13768590946399,27.359357482231204,67.9,27,321.0
bagel_addict,1462007042013491204,authority,186,186,893.6818085494486,11.410829445595844,27.359357482231204,75.28999999999999,37,247.1
mediumrarecap,1646629303227138048,authority,187,187,893.2311642677496,20.319772887213293,27.359357482231204,72.72999999999999,59,272.7
HUG3EE,1420698104228110340,authority,188,188,893.07235546341,13.738712266893168,27.359357482231204,75.76,35,242.4
trubus_x,1725344200596852736,authority,189,189,892.5642554853033,34.89551295565894,26.058903819966986,66.13,124,338.7
simonasta,79622026,authority,190,190,891.7583971376775,2.0173626605864845,26.425320191376763,53.779999999999994,28,462.2
CryptoGangster6,1373269670074019841,authority,191,191,891.7540432390001,12.21970343978031,26.425320191376763,72.56,51,274.4
roybitsir,813940285772210176,authority,192,192,891.2485479400116,22.29322774863486,26.425320191376763,75.53,78,244.7
jenniferng_,4299196094,authority,193,193,890.7356889405779,2.5770354158678686,26.425320191376763,49.9,30,501.0
HONKA_YO,1376848871079481349,authority,194,194,890.7097267371523,12.041299487479197,27.359357482231204,75.03,43,249.7
wojak_pomp,1338835285136773120,authority,195,195,890.4897346099526,19.75554954151454,27.359357482231204,69.53,58,304.7
felixtaiwo12,1380593579937120259,authority,196,196,890.1315927410267,25.57426786842819,26.058903819966986,68.13,95,318.7
crymusti,3224924541,authority,197,197,890.1160586202524,7.659297657428307,26.058903819966986,57.629999999999995,28,423.7
sentience420,2199760946,authority,198,198,888.848177781034,5.732857589657243,26.425320191376763,67.69,28,323.1
hermidao1,525054568,authority,199,199,888.2934693925365,3.0036237431786965,25.50984564935788,54.779999999999994,30,452.2
Iam_MrJudge,949217374099603456,authority,200,200,887.540082489684,20.221288387734475,27.359357482231204,66.72,71,332.8
okkxyz,1348269443101716484,authority,201,201,887.2911262778484,13.067234657900267,26.425320191376763,75.37,35,246.3
gemmountainx,1369615439530053640,authority,202,202,886.9454860998496,8.3076659084729,26.425320191376763,72.9,40,271.0
0xNsam,1190028447269163010,authority,203,203,886.5932943271063,14.41327939602817,26.058903819966986,70.51,45,294.9
JohnDoughBull,1156498106164424704,authority,204,204,886.5670173167638,22.385891274574696,26.058903819966986,67.9,90,321.0
tokennotneeded,1348139058996736003,authority,205,205,886.2019132301955,17.00469860510709,27.359357482231204,70.07000000000001,56,299.3
eternaldegen,1553051332080197632,authority,206,206,885.4959096614042,7.274698149129471,26.058903819966986,72.97,39,270.3
Amazingbyte,1188743644804714496,authority,207,207,885.4194500991339,19.300437444488765,27.359357482231204,90.07000000000001,29,99.3
misspriss1103,1729126609410461696,authority,208,208,885.199923859792,12.135410283727444,26.058903819966986,74.53,41,254.7
proofofjay,1207004328147341313,authority,209,209,884.7978185230717,14.817241528645333,27.359357482231204,68.67,41,313.3
rfnihao,947897130202492929,authority,210,210,884.7487776199506,18.13664583437108,26.425320191376763,67.81,69,321.9
dcfpascal_,1355381531267584003,authority,211,211,884.7043697000252,11.488623976733487,26.425320191376763,70.45,47,295.5
aesmonty,2826092557,authority,212,212,884.619623756763,3.9945929222199577,25.50984564935788,64.42999999999999,27,355.7
hanter_ha,1604071355321810949,authority,213,213,884.3557016876615,15.571472410558446,27.359357482231204,69.63,39,303.7
realgigiyip,4099246894,authority,214,214,884.0450375181792,4.445191868821302,25.50984564935788,52.089999999999996,31,479.1
DegenGerman,1423528334617686017,authority,215,215,883.9147005897386,22.072084680541074,27.359357482231204,66.59,89,334.1
VB_Audit,1461394993537589248,authority,216,216,883.6720301692853,14.718922687054171,27.359357482231204,68.5,48,315.0
moo9000,50703014,authority,217,217,883.378319483012,2.802319987500259,25.50984564935788,59.470000000000006,26,405.3
Juliooofive,926593414086447104,authority,218,218,883.154685854411,11.422471229322685,27.359357482231204,74.72999999999999,35,252.7
ZarMamba89,1452545182776320005,authority,219,219,882.6363244201199,18.883911828223113,26.058903819966986,67.78999999999999,57,322.1
